,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
40,Haines Junction,CA,36.49,60.75,-137.51,77,24,2.59
41,Kodiak,US,68,39.95,-94.76,93,75,4.7
42,San Patricio,PY,69.16,-26.98,-56.83,61,8,5.73
43,Chudovo,RU,49.54,59.12,31.67,97,56,8.19
45,Mushie,CD,78.7,-3.02,16.92,82,12,2.71
46,Ponta do Sol,BR,78.88,-20.63,-46,61,56,7.07
47,Goderich,CA,56.29,43.74,-81.71,80,44,13.67
48,Batagay,RU,22.81,67.65,134.64,85,88,2.93
49,La Asuncion,EC,71.6,-1.64,-78.74,46,75,11.41
50,Pimenta Bueno,BR,77.98,-11.68,-61.19,94,36,1.92
51,Acari,BR,83.65,-6.44,-36.64,46,12,9.19
52,Mataura,NZ,46.93,-46.19,168.86,92,0,4.94
54,Daru,SL,72.4,7.99,-10.85,100,92,1.92
55,College,US,47.21,64.86,-147.8,11,1,4.72
56,Kirakira,SB,80.23,-10.46,161.92,100,44,11.77
57,Belaya Gora,RU,26.23,68.54,146.19,96,88,8.41
60,Sao Filipe,CV,80.68,14.9,-24.5,93,8,8.19
63,Te Anau,NZ,41.26,-45.41,167.72,88,0,3.6
64,Bredasdorp,ZA,55.4,-34.53,20.04,93,0,14.67
65,Port Alfred,ZA,65.92,-33.59,26.89,88,0,11.65
66,Ushuaia,AR,50,-54.81,-68.31,61,75,13.87
67,Cape Town,ZA,60.8,-33.93,18.42,93,0,13.87
69,Hobart,AU,48.2,-42.88,147.33,70,40,6.93
71,Lerwick,GB,44.6,60.15,-1.15,93,88,5.82
72,Lagoa,PT,71.6,37.14,-8.45,73,0,4.7
73,Henties Bay,NA,63.85,-22.12,14.28,82,92,6.4
74,Kutum,SD,77.53,14.2,24.66,20,8,11.99
75,Port Lincoln,AU,56.29,-34.72,135.86,98,92,9.75
77,Grindavik,IS,29.12,63.84,-22.43,68,20,8.05
78,Khatanga,RU,32.71,71.98,102.47,83,56,16.24
79,Kaitangata,NZ,48.37,-46.28,169.85,80,0,5.39
80,Hemer,DE,58.19,51.39,7.77,71,0,9.17
82,Santa Cruz de Tenerife,ES,70.21,28.47,-16.25,100,75,2.24
83,Mahebourg,MU,73.4,-20.41,57.7,73,40,3.36
85,Hovd,NO,45.32,63.83,10.7,61,75,24.16
86,Barrow,AR,63.85,-38.31,-60.23,32,64,6.62
87,Bonavista,CA,49.45,48.65,-53.11,93,0,11.1
88,Abapo,BO,72.22,-18.83,-63.47,57,32,2.04
89,Severo-Kurilsk,RU,46.48,50.68,156.12,93,64,16.13
90,Isangel,VU,73.48,-19.55,169.27,100,12,7.29
91,Adrar,DZ,78.8,27.87,-0.29,24,0,9.17
92,Nelson Bay,AU,60.8,-32.72,152.14,93,75,13.87
93,Airai,TL,59.53,-8.93,125.41,62,0,2.15
94,Saint-Philippe,CA,48.92,45.36,-73.48,45,75,8.05
95,Sitka,US,87.88,37.17,-99.65,48,0,17.81
96,Bethel,US,50,60.79,-161.76,74,40,9.17
97,Sorong,ID,79.06,-0.86,131.25,100,32,2.26
98,Tuktoyaktuk,CA,30.2,69.44,-133.03,68,75,8.05
99,Kruisfontein,ZA,61.78,-34,24.73,86,0,9.75
100,Flinders,AU,55.4,-34.58,150.85,76,90,9.17
101,Cabo San Lucas,MX,88.77,22.89,-109.91,52,5,3.36
102,Kirkuk,IQ,64.75,35.47,44.4,48,0,2.15
103,Caravelas,BR,77.62,-17.73,-39.27,100,8,13.78
104,Dikson,RU,40.36,73.51,80.55,94,88,26.31
105,Bukama,CD,74.2,-9.2,25.85,63,56,4.38
107,Nouadhibou,MR,75.2,20.93,-17.03,64,0,12.75
108,Tabuk,PH,65.83,17.41,121.44,97,76,0.47
109,Qaanaaq,GL,14.8,77.48,-69.36,100,0,8.52
110,Jamestown,AU,49.54,-33.21,138.6,76,24,7.52
111,Pangnirtung,CA,39.2,66.15,-65.72,35,90,12.75
112,Yenagoa,NG,74.2,4.92,6.26,96,56,4.38
113,Cairns,AU,75.2,-16.92,145.77,73,75,11.41
114,Port Hardy,CA,51.8,50.7,-127.42,76,75,16.11
116,Geraldton,CA,35.6,49.72,-86.95,74,90,5.82
117,Campbellton,CA,43.69,48,-66.68,65,20,5.61
118,Kenai,US,50.97,60.55,-151.26,80,90,3.36
119,Manzanillo,CU,80.32,20.34,-77.12,100,68,2.71
120,Torbay,CA,48.2,47.66,-52.73,81,75,9.17
121,Longyearbyen,NO,26.6,78.22,15.63,92,75,5.82
122,Ballina,IE,44.14,54.11,-9.15,91,56,4.94
123,Richards Bay,ZA,53.68,-28.77,32.06,97,0,0.36
124,Dinguiraye,GN,78.16,11.29,-10.71,67,48,7.18
125,Baykit,RU,32.89,61.68,96.39,94,56,2.59
126,Olovyannaya,RU,22.45,50.94,115.59,77,8,5.73
127,Gilbues,BR,92.56,-9.83,-45.34,27,76,3.38
128,Kropotkin,RU,37.57,45.43,40.58,73,0,4.16
129,Thompson,CA,37.4,55.74,-97.86,37,75,3.71
130,Nuevo Progreso,US,91.22,26.05,-97.95,51,75,14.99
131,Iquitos,PE,42.8,-3.75,-73.25,319,75,3.36
133,Sesheke,NA,72.58,-17.47,24.29,27,0,9.86
134,Tautira,PF,82.4,-17.73,-149.15,54,20,8.05
135,Albanel,CA,39.2,48.88,-72.44,55,90,3.36
136,Chuy,UY,54.22,-33.69,-53.46,77,0,12.21
137,Leirvik,NO,50,59.78,5.5,66,92,18.34
138,Bagdarin,RU,29.2,54.44,113.59,74,92,7.63
139,Carutapera,BR,81.94,-1.2,-46.02,76,24,10.65
140,Anadyr,RU,46.4,64.73,177.51,87,75,22.37
141,Bubaque,GW,82.4,11.28,-15.83,83,20,5.82
142,Beringovskiy,RU,45.31,63.05,179.32,100,92,20.71
143,Lebu,ET,60.8,8.96,38.73,38,0,11.41
144,East Foothills,US,72.34,37.38,-121.82,44,1,9.17
146,Poya,NC,68.62,-21.35,165.16,100,68,2.37
147,Hithadhoo,MV,81.76,-0.6,73.08,100,80,24.74
148,Georgetown,GY,86,6.8,-58.16,70,20,11.41
149,Srednekolymsk,RU,31.99,67.46,153.71,88,92,9.31
150,New Norfolk,AU,48.2,-42.78,147.06,70,40,6.93
151,Vila,IT,60.8,45.18,8.4,77,75,4.7
152,Tiznit,MA,69.25,29.7,-9.73,99,32,2.04
153,Tateyama,JP,66.2,36.66,137.31,93,40,2.24
154,Chapais,CA,33.8,49.78,-74.86,50,90,4.7
155,Launceston,AU,46.4,-41.43,147.14,87,90,4.7
157,Kirkland Lake,CA,33.8,48.15,-80.03,100,90,8.05
159,Codrington,AU,59.17,-28.95,153.24,100,92,2.71
160,Ornskoldsvik,SE,44.19,63.29,18.72,64,0,6.93
161,Ribeira Grande,PT,69.07,38.52,-28.7,100,88,29.44
162,Bangassou,CF,71.32,4.74,22.82,99,44,1.7
163,Mount Isa,AU,69.8,-20.73,139.49,32,0,9.17
164,Kisanga,CD,72.58,-11.72,27.4,44,76,7.4
165,San Francisco del Mar,MX,87.7,16.34,-94.51,80,0,24.85
166,Bluff,AU,63.13,-23.58,149.07,88,0,7.63
167,Gazanjyk,TM,63.58,39.24,55.52,78,92,8.08
168,Saldanha,PT,54.67,41.42,-6.55,63,0,4.61
169,Bonthe,SL,78.07,7.53,-12.5,96,64,2.71
170,Kahului,US,81.23,20.89,-156.47,57,40,14.99
171,Faya,SA,66.25,18.39,42.45,23,0,6.93
172,Touros,BR,77.98,-5.2,-35.46,83,88,13.78
173,Alta Floresta,BR,80.5,-9.87,-56.08,84,32,2.15
174,Penzance,GB,56.35,50.12,-5.53,100,75,5.82
175,Nuuk,GL,37.4,64.17,-51.74,86,56,24.16
176,Camacha,PT,69.8,33.08,-16.33,83,20,5.82
178,Limoeiro do Ajuru,BR,87.88,-1.9,-49.38,69,20,9.53
179,Naryan-Mar,RU,31.81,67.67,53.09,99,0,9.98
180,Teya,MX,78.8,21.05,-89.07,94,75,4.7
183,Wichita Falls,US,89.11,33.91,-98.49,51,75,16.11
185,Belmonte,PT,55.93,40.36,-7.35,68,0,2.59
186,Mecca,SA,74.47,21.43,39.83,81,0,2.71
187,Ilulissat,GL,32,69.22,-51.1,93,64,6.93
189,Provideniya,RU,46.48,64.42,-173.23,97,88,18.25
190,Narsaq,GL,39.2,60.91,-46.05,64,92,16.11
191,Thinadhoo,MV,83.65,0.53,72.93,99,92,25.3
192,Gat,SN,87.8,14.69,-16.54,74,0,4.7
193,Butaritari,KI,83.29,3.07,172.79,100,88,7.63
194,Ormara,PK,76.9,25.21,64.64,91,0,1.59
195,East London,ZA,68.8,-33.02,27.91,100,0,18.48
196,Aykhal,RU,16.15,65.95,111.51,74,8,2.71
197,Quang Ngai,VN,59.44,15.12,108.8,86,0,3.04
198,Lujan,AR,70.51,-46.57,-67.67,15,0,13.11
199,Dingle,PH,73.48,11,122.67,92,20,3.71
200,Hatillo,PR,73.4,18.49,-66.83,95,40,9.31
201,Oranjemund,ZA,58.27,-28.55,16.43,92,8,7.85
202,Guia de Isora,ES,70.32,28.21,-16.78,83,40,8.05
203,Cherskiy,RU,33.61,68.75,161.3,92,88,8.08
204,Vajszlo,HU,48.01,45.86,17.98,77,0,3.04
205,Faanui,PF,78.79,-16.48,-151.75,100,36,11.43
206,Andros Town,BS,86,24.73,-77.79,62,40,13.87
207,Tereze,RU,41,43.94,42.44,82,88,4.47
209,Dubbo,AU,55.4,-32.25,148.6,71,0,12.75
210,Le Port,FR,42.43,42.87,1.37,92,0,1.81
211,De Aar,ZA,48.28,-30.65,24.01,35,0,2.37
212,Namatanai,PG,81.49,-3.66,152.44,100,44,11.77
213,Carolina,PR,77.72,18.38,-65.96,87,90,8.05
214,Cayenne,GF,84.2,4.94,-52.33,70,0,6.93
215,Umm Lajj,SA,78.16,25.02,37.27,100,0,5.17
216,Nikolskoye,RU,44.6,59.7,30.79,81,40,6.71
217,Merauke,ID,70.51,-8.49,140.4,100,0,13.33
218,Wajima,JP,67,37.4,136.9,95,8,3.38
219,Bud,NO,46.4,62.91,6.91,81,75,32.21
220,Vanavara,RU,32.08,60.35,102.28,91,68,2.59
221,Burnie,AU,53.95,-41.05,145.91,98,88,13.33
222,Kapit,MY,72.49,2.02,112.94,98,88,2.37
223,Gamba,CN,16.51,28.28,88.52,62,44,2.26
224,Isla Mujeres,MX,86,21.23,-86.73,74,75,9.17
225,Katobu,ID,77.71,-4.94,122.53,100,0,4.61
226,Sechura,PE,69.88,-5.56,-80.82,84,0,13.78
227,Abu Zabad,SD,76.36,12.35,29.25,65,0,3.71
228,Chaiya,IN,67.72,29.28,74.48,64,8,2.71
229,Victoria,BN,77.88,5.28,115.24,94,75,4.7
230,Husavik,CA,36.85,50.56,-96.99,100,92,9.86
231,Xianshuigu,CN,62.6,38.98,117.38,48,0,22.37
232,Port Macquarie,AU,59,-31.43,152.91,100,90,9.17
233,Akdagmadeni,TR,34.6,39.66,35.88,88,0,3.83
234,Los Llanos de Aridane,ES,73.4,28.66,-17.92,78,20,4.7
235,Villachuato,MX,80.05,20.15,-101.64,45,8,3.15
236,Grand-Lahou,CI,75.46,5.24,-5,91,32,6.29
237,Seoul,KR,62.42,37.57,126.98,88,90,11.41
238,La Sarre,CA,40.45,48.8,-79.2,75,68,4.83
239,Norman Wells,CA,26.6,65.28,-126.83,86,75,3.36
241,Bereznik,RU,35.32,62.86,42.71,88,80,10.09
242,Arraial do Cabo,BR,69.8,-22.97,-42.02,77,75,6.93
243,Vallenar,CL,69.79,-28.58,-70.76,65,8,2.71
244,Souillac,FR,60.8,45.6,-0.6,72,0,3.94
245,Rovaniemi,FI,30.2,66.5,25.72,92,0,4.7
246,Oistins,BB,84.2,13.07,-59.53,70,20,16.11
247,Bahia Blanca,AR,68.71,-38.72,-62.27,38,56,10.31
248,Mamlyutka,KZ,52.51,54.94,68.54,53,0,13.67
249,Jumla,NP,28.93,29.28,82.18,77,0,2.15
250,High Level,CA,28.4,58.52,-117.13,74,90,5.82
252,Brive-la-Gaillarde,FR,62.6,45.16,1.53,59,0,6.93
253,Avera,US,91.35,33.19,-82.53,42,75,4.7
254,Zelenoborskiy,RU,37.75,66.84,32.36,100,68,12.21
255,Karratha,AU,69.34,-20.74,116.85,44,0,10.65
256,Mainburg,DE,45.01,48.64,11.78,100,0,3.36
257,Coquimbo,CL,53.6,-29.95,-71.34,87,75,13.87
258,San Quintin,PH,73.4,17.54,120.52,94,20,2.24
261,Kampot,KH,72.76,10.62,104.18,95,64,2.71
262,Portland,US,51.85,45.52,-122.67,96,90,11.41
263,Umea,SE,42.8,63.83,20.26,70,0,9.17
264,Cochabamba,BO,77,-17.39,-66.16,27,40,11.41
265,Castro,CL,60.7,-42.48,-73.76,66,36,1.7
266,Vao,EE,45.4,59.1,26.19,94,24,8.08
267,Quatre Cocos,MU,73.4,-20.21,57.76,73,40,3.36
268,Lata,IN,44.05,30.78,78.62,80,0,2.37
269,Juegang,CN,70.33,32.31,121.18,97,92,23.29
270,Port Blair,IN,84.73,11.67,92.75,99,68,0.58
272,Mackenzie,CA,48.2,55.34,-123.09,39,1,8.05
273,Celestun,MX,84.55,20.87,-90.4,96,20,13.56
274,Vestmannaeyjar,IS,34.42,63.44,-20.27,100,0,9.98
275,Leningradskiy,RU,36.4,69.38,178.42,96,36,3.94
276,Pevek,RU,36.31,69.7,170.27,100,76,3.83
277,Broken Hill,AU,52.87,-31.97,141.45,86,76,6.29
278,Victoria,BN,77.88,5.28,115.24,94,75,4.7
279,Margate,AU,48.2,-43.03,147.26,70,40,6.93
280,Taunggyi,MM,63.22,20.78,97.03,100,68,2.37
281,Rio Gallegos,AR,55.4,-51.62,-69.22,37,75,6.93
283,Hilo,US,75.38,19.71,-155.08,69,90,5.82
284,Barra do Garcas,BR,78.8,-15.89,-52.26,83,0,4.16
285,Tasiilaq,GL,30.2,65.61,-37.64,80,92,21.92
286,Ambilobe,MG,68.17,-13.19,49.05,81,12,5.84
287,Kamaishi,JP,62.95,39.28,141.86,98,92,2.93
288,Santa Rosa,AR,67.36,-36.62,-64.29,37,32,15.12
289,Kasane,BW,71.5,-17.8,25.16,32,0,7.63
290,Nanortalik,GL,38.11,60.14,-45.24,97,68,15.57
291,Aquiraz,BR,80.6,-3.9,-38.39,74,40,11.41
292,Khandbari,NP,38.74,27.38,87.21,79,32,0.47
293,Methoni,GR,68,36.82,21.7,56,0,9.17
294,Tamandare,BR,82.21,-8.28,-70.75,82,12,3.71
295,Joniskis,LT,55.4,56.24,23.62,87,90,13.87
296,Hualmay,PE,68.26,-11.1,-77.61,69,88,5.84
297,Hambantota,LK,79.15,6.12,81.12,100,80,12.77
298,Wete,TZ,78.88,-5.06,39.73,97,92,13.78
299,Mount Gambier,AU,46.12,-37.83,140.78,88,8,2.93
300,San Juan,AR,79.51,-31.54,-68.53,32,0,6.96
301,Bambous Virieux,MU,73.4,-20.34,57.76,73,40,3.36
302,Klimovo,RU,42.43,52.38,32.2,81,24,11.43
303,Pisco,PE,71.6,-13.71,-76.2,30,20,11.41
304,Dhekiajuli,IN,60.79,26.71,92.48,85,0,2.71
305,Ulaangom,MN,19.3,49.98,92.07,74,0,4.38
306,Mocuba,MZ,68.71,-16.84,36.99,96,92,5.39
307,San Carlos de Bariloche,AR,66.2,-41.13,-71.31,22,0,14.99
308,Namibe,AO,67,-15.19,12.15,100,76,8.75
310,Sept-Iles,CA,42.8,50.2,-66.38,45,75,11.41
311,Cam Ranh,VN,73.84,11.92,109.15,100,24,10.2
312,Columbus,US,90.21,32.46,-84.99,43,40,3.15
313,Porto Murtinho,BR,79.24,-21.7,-57.88,71,0,7.96
314,Comodoro Rivadavia,AR,60.8,-45.87,-67.48,31,0,8.05
315,Pochutla,MX,86.72,15.74,-96.47,66,75,11.41
316,Mayor Pablo Lagerenza,PY,84.55,-19.93,-60.77,45,24,7.4
317,Marshall,US,85.93,39.39,-87.69,62,40,8.08
318,Ambon,FR,57.2,47.55,-2.56,100,90,4.7
319,Pervomayskoye,RU,39.46,57.07,86.23,90,0,7.63
320,Filadelfia,PY,79.69,-22.35,-60.04,50,0,10.2
321,Outlook,CA,46.21,51.48,-107.04,58,0,7.29
322,Tromso,NO,28.4,69.65,18.96,92,0,6.93
323,Acajutla,SV,81.21,13.59,-89.83,100,75,14.99
324,Hofn,IS,35.05,64.25,-15.21,100,0,15.57
325,Verkhnevilyuysk,RU,31.36,63.45,120.31,94,88,2.82
326,Pacific Grove,US,70.23,36.62,-121.92,44,1,9.17
327,Neftekumsk,RU,47.38,44.75,44.99,64,12,9.42
328,Ilhabela,BR,67,-23.78,-45.36,100,88,10.42
329,Jalu,LY,84.37,29.03,21.55,29,8,8.97
330,Port-Gentil,GA,78.8,-0.72,8.78,88,40,9.17
331,Ruidoso,US,83.05,33.33,-105.67,12,1,11.41
332,Sanming,CN,50.26,26.24,117.6,88,0,1.92
333,Nancha,CN,36.31,47.14,129.26,73,0,2.93
334,Ust-Koksa,RU,22,50.27,85.62,74,0,1.92
336,Aksha,RU,31.9,50.28,113.29,58,92,10.42
337,Kavieng,PG,83.38,-2.57,150.8,100,20,6.73
338,Oranjestad,AW,84.2,12.52,-70.03,74,20,20.8
339,Guerrero Negro,MX,77.08,27.97,-114.04,58,0,14.67
340,Dustlik,UZ,56.11,40.53,68.03,80,0,2.37
341,Kushima,JP,75.97,31.5,131.29,78,75,16.11
342,Vasilsursk,RU,34.06,56.13,46.01,79,0,6.73
343,Palana,RU,39.28,59.08,159.95,98,92,4.72
344,Sorland,NO,35.6,67.67,12.69,100,75,5.82
345,Sobolevo,RU,50.71,54.43,31.9,93,92,16.24
346,Duluth,US,44.22,46.77,-92.13,93,90,10.76
347,Elizabeth City,US,78.8,36.3,-76.22,83,90,14.99
348,Muli,IN,78.34,22.62,71.45,69,76,2.59
349,Deputatskiy,RU,14.98,69.3,139.9,84,68,3.15
350,Ancud,CL,61.78,-41.87,-73.83,68,24,1.92
351,Kavaratti,IN,81.31,10.57,72.64,100,76,5.73
352,Dalvik,SE,51.8,57.79,14.13,93,90,6.93
353,Saravena,CO,75.55,6.96,-71.88,88,20,1.7
354,Leh,IN,4.27,34.16,77.58,79,44,1.7
355,Kabo,CF,79.78,7.69,18.62,82,12,2.82
356,North Ogden,US,54.36,41.31,-111.96,87,75,9.17
357,Kerema,PG,70.78,-7.96,145.78,99,68,2.71
358,Rome,IT,63.45,41.89,12.48,82,40,9.17
359,Saskylakh,RU,24.7,71.97,114.09,83,0,10.65
360,Saint George,GR,55.4,39.45,22.34,87,20,2.93
361,Nicolae Balcescu,RO,42.8,46.47,26.92,81,0,8.05
362,Centralia,US,86.31,39.21,-92.14,51,40,10.29
363,Dongkan,CN,66.1,34,119.83,74,0,16.02
364,Prince Rupert,CA,55.4,54.32,-130.32,54,1,3.36
366,Farah,AF,54.49,32.37,62.11,50,0,2.59
367,Eureka,US,60.53,40.8,-124.16,45,75,12.75
368,Abrau-Dyurso,RU,39.2,44.7,37.6,100,56,6.71
369,Padang,ID,77.8,-0.92,100.36,100,88,3.38
370,Rosetta,EG,78.8,31.4,30.42,69,0,16.11
371,Sioux Lookout,CA,37.4,50.1,-91.92,93,90,5.82
372,Micheweni,TZ,78.88,-4.97,39.83,97,92,13.78
373,Komsomolskiy,RU,37.21,67.55,63.78,97,88,4.72
374,Kupang,ID,73.4,-10.16,123.6,100,20,4.7
378,Inirida,CO,86.53,3.87,-67.92,65,32,1.92
379,At-Bashi,KG,27.04,41.17,75.81,72,0,2.15
381,Rockledge,US,65.98,40.08,-75.09,70,90,4.7
382,Beloha,MG,64.03,-25.17,45.06,93,0,2.48
384,Walvis Bay,NA,57.2,-22.95,14.51,87,80,6.93
385,Balsta,SE,48.2,59.57,17.53,66,0,11.41
386,Antofagasta,CL,60.8,-23.65,-70.4,77,75,16.11
387,Dom Pedrito,BR,61.51,-30.98,-54.67,72,64,5.95
388,Klaksvik,FO,39.2,62.23,-6.59,69,44,13.87
390,Luderitz,NA,57.73,-26.65,15.16,86,0,2.59
391,Porto Novo,BR,62.6,-23.68,-45.44,82,75,16.11
392,Yar-Sale,RU,45.13,66.83,70.83,97,32,12.66
394,Ofaqim,IL,64.21,31.31,34.62,92,0,2.71
395,Bathsheba,BB,84.2,13.22,-59.52,70,20,16.11
396,Kishi,NG,71.68,9.08,3.85,94,12,4.94
397,Auki,NG,71.41,12.18,6.51,92,20,6.4
398,Akhisar,TR,54.49,38.92,27.84,69,32,3.83
399,Da Lat,VN,62.77,11.95,108.44,97,36,1.92
400,Chicama,PE,66.2,-7.84,-79.15,88,90,9.17
401,Port-Cartier,CA,42.8,50.03,-66.88,45,75,11.41
402,Mayo,CA,35.6,63.59,-135.9,37,40,3.6
403,Central Point,US,45.75,42.38,-122.91,79,90,2.37
404,Berdigestyakh,RU,28.93,62.1,126.7,93,80,3.27
405,Salalah,OM,77,17.01,54.1,65,75,3.36
406,Mackay,CA,47.32,53.65,-115.58,39,75,6.93
407,Najran,SA,75.2,17.54,44.22,35,0,4.7
408,Sabang,PH,77.8,13.72,123.58,100,80,3.83
409,Duku,NG,78.16,11.24,4.91,84,8,3.15
410,Mani,GR,53.23,41.41,26.4,71,0,6.96
411,Riyadh,SA,82.4,24.63,46.72,14,0,3.36
412,Cidreira,BR,60.88,-30.17,-50.22,71,76,7.74
413,Rurrenabaque,BO,84.09,-14.44,-67.53,58,20,4.7
414,Sri Aman,MY,73.4,1.24,111.46,100,48,2.15
415,Sarkand,KZ,38.02,45.41,79.91,74,0,2.15
416,Antalaha,MG,67.81,-14.9,50.28,88,0,7.63
417,Nangong,CN,54.13,37.36,115.37,51,0,8.63
418,Wattegama,LK,70.24,7.35,80.68,98,64,2.71
420,Oyem,GA,71.59,1.6,11.57,96,64,2.04
421,Vostok,RU,35.23,46.45,135.83,78,56,2.15
422,Boyolangu,ID,65.38,-8.09,111.9,87,24,3.6
423,Shache,CN,52.06,38.42,77.24,55,76,3.71
424,Sao Gabriel da Cachoeira,BR,75.73,-0.13,-67.09,100,64,1.92
425,Sinnamary,GF,82.93,5.38,-52.96,89,0,10.98
426,Maragogi,BR,77.35,-9.01,-35.22,80,92,8.52
427,Wufeng,TW,74.59,24.63,121.12,69,75,9.17
428,Banjar,ID,66.73,-7.37,108.54,93,56,1.7
429,Half Moon Bay,US,72.19,37.46,-122.43,56,75,13.87
430,Tevaitoa,PF,77.98,-16.78,-151.5,100,24,12.77
431,Ouango,CD,71.41,4.31,22.55,99,80,2.26
432,Shimoda,JP,70.96,34.7,138.93,100,100,11.21
433,Ouesso,CG,73.03,1.61,16.05,97,76,2.04
434,Pecos,US,90.64,31.42,-103.49,34,1,9.17
435,Yuryevets,RU,32.89,57.32,43.11,100,12,11.43
437,Lahad Datu,MY,75.55,5.02,118.33,96,8,0.92
438,Vagur,FO,46.66,61.47,-6.81,100,0,17.81
439,Kurten,US,89.6,30.79,-96.26,57,1,8.05
440,Chifeng,CN,44.14,42.27,118.96,40,8,8.63
441,Pavlodar,KZ,42.8,52.28,76.96,65,0,8.95
442,Devonport,AU,44.86,-41.18,146.36,93,92,3.38
443,Lokoja,NG,72.85,7.8,6.74,96,12,2.93
444,Awbari,LY,73.12,26.59,12.77,60,92,5.17
445,Ulaanbaatar,MN,24.8,47.92,106.92,73,20,4.47
446,Batemans Bay,AU,54.13,-35.71,150.18,96,88,5.95
447,Nurota,UZ,57.2,40.56,65.69,35,0,9.17
448,Amnat Charoen,TH,74.29,15.86,104.63,69,0,8.3
449,Anqing,CN,53.41,30.51,117.04,92,0,3.15
450,Sanmenxia,CN,45.31,34.77,111.19,82,64,2.26
451,San Rafael,AR,77.53,-34.61,-68.33,26,0,11.21
453,Mlonggo,ID,74.56,-6.53,110.7,100,20,6.62
454,Paka,HR,48.2,45.29,18.06,70,0,9.17
455,Mweka,CD,74.56,-4.85,21.56,93,36,2.26
456,Bilma,NE,78.52,18.69,12.92,20,0,4.5
457,Villa Guerrero,MX,82.03,21.98,-103.59,28,0,1.92
458,Atar,MR,88.6,20.52,-13.05,24,88,2.26
459,Hamilton,BM,78.8,32.3,-64.78,78,75,12.75
462,Bull Savanna,JM,73.75,17.89,-77.59,94,92,4.83
463,Chokurdakh,RU,29.74,70.62,147.9,92,88,11.21
464,Oktyabrskiy,RU,40.57,55.61,37.97,93,90,11.18
466,Upernavik,GL,20.83,72.79,-56.15,100,0,6.06
467,Dyatkovo,RU,43.6,53.6,34.34,81,64,13.33
468,Terrace,CA,55.4,54.52,-128.61,43,20,3.36
469,Malinovoye Ozero,RU,35.77,51.68,79.77,73,0,2.71
470,Omaruru,NA,69.61,-21.42,15.95,40,0,6.62
471,Tornio,FI,39.24,61.12,27.27,100,0,2.24
472,Staunton,US,75.47,38.15,-79.07,72,1,5.82
473,Iqaluit,CA,33.8,63.75,-68.52,55,90,21.92
474,Aksay,RU,36.4,47.27,39.86,66,0,4.72
475,Raudeberg,NO,46.15,61.99,5.14,76,92,23.04
476,Nishihara,JP,66.54,35.74,139.53,96,90,2.71
477,Kurumkan,RU,27.76,54.33,110.32,93,92,2.26
478,Kralendijk,BQ,84.64,12.15,-68.27,95,0,18.48
479,Ust-Omchug,RU,23.98,61.13,149.63,78,80,8.75
480,Sibut,CF,72.76,5.73,19.09,93,0,5.17
481,Nagato,JP,77,34.35,131.14,88,75,21.92
482,Biryusinsk,RU,37.12,55.96,97.82,81,68,3.15
